Driver 1,Driver 2,Connection Description
OPEC+ Cuts,No New Refineries,"OPEC+ supply changes can amplify problems from limited U.S. refinery capacity, driving up fuel prices."
OPEC+ Cuts,Market Speculation,OPEC+ decisions are major triggers for global speculative trading in oil and gas markets.
OPEC+ Cuts,Dollar Strength,"Changes in OPEC+ output influence dollar demand since oil trades in USD, affecting currency and energy prices."
OPEC+ Cuts,Extreme Weather,Disasters can prompt OPEC+ emergency measures; OPEC+ changes can worsen supply shocks from events.
OPEC+ Cuts,Underinvestment,"OPEC+ supply management impacts global investment, influencing long-term supply and infrastructure."
Ukraine War,LNG Exports,"The war forced Europe to replace Russian gas, directly increasing U.S. LNG exports."
Ukraine War,European Demand,Russian supply disruptions created an urgent European need for new energy sources.
Ukraine War,Grid Stability,Shifts in energy flows and geopolitical risk strain European grid resilience.
Ukraine War,Cybersecurity,Conflict heightened cyberattack risks in energy sectors globally.
Ukraine War,Insurance Costs,War risk premiums raised insurance costs for energy infrastructure.
Ukraine War,Carbon Rules,"Security concerns can speed or slow climate policies, depending on government priorities."
Ukraine War,Input Costs,"The conflict created global material shortages, raising energy project costs."
LNG Exports,Ukraine War,U.S. LNG is a direct substitute for lost Russian supply amidst the conflict.
LNG Exports,China Demand,Asian and European demand for LNG pinch global supply and drive prices.
LNG Exports,Pipeline Limits,Limited U.S. pipeline capacity restricts how much gas can reach LNG terminals.
LNG Exports,Shipping,Exporting LNG depends on sufficient specialized ships—which can constrain trade in high demand.
Dollar Strength,OPEC+ Cuts,Dollar value affects OPEC+ strategic pricing and supply to non-dollar markets.
Dollar Strength,Import Costs,Exchange rate shifts alter costs of imported energy equipment and materials.
Dollar Strength,Labor Shortage,Labor migration and wage competitiveness depend partly on dollar strength.
China Demand,LNG Exports,China's economic growth drives demand for U.S. and global LNG exports.
China Demand,OPEC+ Cuts,Chinese demand forecasts can shape OPEC+ supply strategies.
China Demand,Shipping,China's energy imports rely heavily on global shipping infrastructure.
China Demand,Input Costs,China's industrial growth drives up global prices for energy infrastructure materials.
China Demand,Labor Shortage,More global projects mean more competition among energy sector workers.
China Demand,Market Speculation,News about China’s economy or policy fuels commodity speculation worldwide.
China Demand,Cybersecurity,Tensions with China increase energy sector cyber risks.
No New Refineries,OPEC+ Cuts,U.S. fuel prices are more sensitive when refining capacity lags behind crude supply changes.
No New Refineries,Maintenance,"With fewer refineries, shutdowns for maintenance have outsized price impacts."
No New Refineries,Environmental Rules,Regulations have blocked new refining projects for decades.
No New Refineries,Permit Delays,Permitting and litigation slow or stall important refinery upgrades.
No New Refineries,Labor Shortage,Lack of new facilities limits skilled worker training and availability.
