Category,Factor,Description,Drivers,Scope,Links
Global Markets,OPEC+ Cuts,"When countries like Saudi Arabia and Russia cut oil production, the global supply tightens. Even if the U.S. produces plenty, Americans still pay more at the pump.","Saudi Arabia policy, Russian cooperation, demand forecasts, extreme weather emergency responses, refinery utilization impacts, long-term investment planning influence",Global,"Refineries, Market Speculation, Dollar Strength, Extreme Weather, Underinvestment, No New Refineries, China Demand"
Global Markets,Ukraine War,"Sanctions and supply disruptions forced Europe to replace Russian energy with U.S. oil and gas, creating ripple effects that raised global and domestic prices.","Sanctions, pipeline closures, LNG demand shift, cyber threat escalation, war risk insurance premiums, energy security vs climate policy tensions",Global,"LNG Exports, European demand, Grid stability, Cybersecurity, Insurance Costs, Carbon Rules, Input Costs"
Global Markets,LNG Exports,"Exporting natural gas strengthens U.S. geopolitical standing but ties domestic gas prices to global markets, raising winter heating costs at home.","Export capacity, Asian/European demand, shipping rates",National,"Ukraine War, China Demand, Pipeline Limits"
Global Markets,Dollar Strength,"Because oil is priced in dollars, shifts in U.S. currency values affect both export competitiveness and import costs for energy-related materials.","Fed policy, inflation, global trade flows, grid upgrade material imports",Global,"OPEC+ Cuts, Import costs, Aging Grid, Labor Shortage"
Global Markets,China Demand,"When China's economy surges, global oil and gas demand spikes, and U.S. consumers feel the effect.","Economic growth, COVID policies, industrial output, steel and rare earth price impacts, skilled worker competition, commodity speculation drivers",Global,"LNG Exports, OPEC+ Cuts, Shipping, Input Costs, Labor Shortage, Market Speculation, Cybersecurity, Carbon Rules"
Infrastructure,No New Refineries,"No major new refineries have been built since the 1970s, and several have closed. Even if crude oil is plentiful, limited refining means higher gasoline and diesel prices.","Environmental regulations, capital costs, demand uncertainty, worker training limitations, regulatory approval barriers, material cost sensitivity",National,"OPEC+ Cuts, Maintenance, Environmental rules, Labor Shortage, Permit Delays, Input Costs, Market Speculation, Aging Grid"
Infrastructure,Aging Grid,"The U.S. electric grid needs massive upgrades to stay reliable and integrate renewables. Fixes cost billions, and utilities pass those costs on to consumers.","Deferred maintenance, renewable integration, demand growth, specialized maintenance knowledge requirements, higher insurance risk, electricity futures uncertainty",Regional,"Extreme Weather, Renewable Mandates, Cybersecurity, Skills Gap, Insurance Costs, Market Speculation, Dollar Strength, Underinvestment, No New Refineries, Permit Delays"
Infrastructure,Pipeline Limits,Insufficient pipelines mean natural gas can't reach some regions cheaply. That's why heating bills in New England can be far higher than in Texas.,"Permitting delays, NIMBY opposition, environmental concerns, specialized construction workforce needs, steel and materials costs, environmental liability risks",Regional,"LNG Exports, Permit Delays, State Conflicts, Labor Shortage, Input Costs, Insurance Costs"
Infrastructure,Transformer Shortage,The specialized transformers that power substations have multi-year wait times. Delays make the grid more fragile and expensive to upgrade.,"Supply chain issues, specialized manufacturing, raw materials",National,"Grid upgrades, Extreme Weather, Import dependencies, Aging Grid"
Infrastructure,Deferred Maintenance,"During years of low prices, companies postponed repairs. Now, those deferred costs are coming due all at once.","2014-2020 oil bust, aging infrastructure, labor shortage",National,"Labor Shortage, Investment, Safety regulations, No New Refineries"
